Messi,343.9
SamiraPrideGaming,10
Barcelona,188.9
#BarcaAtleti,63.1
Bar?a,179.1
Tati,335.8
#nisa,47.1
Griezmann,49.1
#ApoyosEdomex,46
Semedo,22.3
